X,Y,OBJECTID,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,ADDRESS_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM
-77.0251153713683,38.9044470054178,297,Ward 2,"915 L Street Northwest, Washington, District of Columbia 20001",Square 369,Completed 2015 to Date,OP,23,38.90443922,-77.02511308,0,0,19,4,0,14-09,315500,397821.73,137398.39,915 L STREET NW,2020/08/31 04:00:41+00
-76.9848086151082,38.9155516823275,300,Ward 5,"1401 New York Ave NE, Washington, District of Columbia 20002",Hechts Warehouse District,Completed 2015 to Date,DMPED DHCD OP,37,38.91554389,-76.98480634,0,10,10,17,0,14-01 and  14-01A,286132,401317.67,138630.91,1401 NEW YORK AVENUE NE,2020/08/31 04:00:41+00
-76.9971287034697,38.8585527367659,319,Ward 8,"2704 Wade Road Southeast, Washington, District of Columbia 20020",Parkchester Apartments,Completed 2015 to Date,DHCD,187,38.85854529,-76.99712642,94,0,93,0,0,,278231,400249.41,132303.48,2704 WADE ROAD SE,2020/08/31 04:00:41+00
-76.9505204149265,38.8986277560075,321,Ward 7,"600 Kenilworth Terrace Northeast, Washington, District of Columbia 20019",The Grove at Parkside,Completed 2015 to Date,DCHA DCHFA DHCD OP,186,38.89852971,-76.95060905,10,0,176,0,0,05-28J,311058,404292.33,136753.27,600 KENILWORTH TERRACE NE,2020/08/31 04:00:41+00
-76.9397679550029,38.8819363088534,322,Ward 7,"4802 Alabama Avenue Southeast, Washington, District of Columbia 20019",Benning Heights Apartments,Completed 2015 to Date,DCHFA DHCD,148,38.88208722,-76.93992495,60,60,28,0,0,,152226,405226.28,134900.95,4802 ALABAMA AVENUE SE,2020/08/31 04:00:41+00
-76.9825538162463,38.9267378162596,323,Ward 5,"1545 Girard Street Northeast, Washington, District of Columbia 20018",Girard Street Community Partners,Completed 2015 to Date,DCHA DHCD,25,38.92670425,-76.98265188,25,0,0,0,0,,306577,401512.98,139872.7,1545 GIRARD STREET NE,2020/08/31 04:00:41+00
-77.031141000364,38.9734617085006,326,Ward 4,"1324 Main Drive Northwest, Washington, District of Columbia 20307",Walter Reed - HELP Walter Reed,Completed 2015 to Date,DMPED DCHA DHCD,77,38.973454,-77.031139,75,2,0,0,0,,316865,397301.69,145059.79,1324 MAIN DRIVE NW,2020/08/31 04:00:41+00
-77.0025123208698,38.8772020467951,328,Ward 6,"1100 2nd Place Southeast, Washington, District of Columbia 20003",The Harlow (Square 769N),Completed 2015 to Date,DCHA DHCD,36,38.877362,-77.001827,9,27,0,0,0,,313921,399782.2,134373.69,1100 2ND PLACE SE,2020/08/31 04:00:41+00
-76.9280328401968,38.885781654608,329,Ward 7,"5100 Bass Pl SE, Washington, District of Columbia 20019",Maya Angelou Cooperative,Completed 2015 to Date,DHCD,9,38.8857742,-76.92803058,0,0,0,9,0,,13515,406244.15,135328.55,5100 BASS PLACE SE,2020/08/31 04:00:41+00
-77.002422611739,38.8282936433536,330,Ward 8,"4319 3rd Street Southeast, Washington, District of Columbia 20032",Atlantic Terrace,Completed 2015 to Date,DCHFA DHCD,195,38.828286,-77.00242033,78,117,0,0,0,,295776,399789.84,128944.51,4319 3RD STREET SE,2020/08/31 04:00:41+00
-77.0317275665896,38.9075951667088,331,Ward 2,"1301 14th St NW, Washington, District of Columbia 20005",N Street Village,Completed 2015 to Date,DCHA DCHFA DHCD,95,38.90758771,-77.03172527,44,12,39,0,0,,225359,397248.32,137748.04,1301 14TH STREET NW,2020/08/31 04:00:41+00
